revenue_ttm_billion,price_gbp,earnings_ttm_billion,pe_ratio_ttm,marketcap_billion,dividend_yield_ttm,gdp_per_capita,gdp_growth_2024,inflation_rate,interest_rate,exchange_rate,unemployment_rate
1.489877,25.046158572,0.369622,-1.72116e-08,5.8374584124825,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
11.364748,55.8364288,0.2344,1.66545e-08,2.6493212169114,4.10753e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.479416,0.884787952,-0.126877,-2.153279999999e-10,0.03655253786688,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.0004082,0.412296556,-0.00994463,-1.7824699999990002e-10,0.0031437860032,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.059851,2.28588,-0.084249,-4.74623e-10,0.1454135192396,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.603824,79.6552984,0.255013,1.55797e-08,2.6303852064358,1.6453e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.014513781,2.4436361984,-0.0021558,-7.87072899999999e-08,0.1436570741923,0.0,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.003087472,0.0076196,0.00465959,1.42857e-10,0.00054290107176,0.0,4.71e-05,0.02,0.03,0.045,0.74074,0.055
2.876534,153.4701734,0.785454,3.13723e-08,16.162533423677,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
11.364748,123.64248724,0.630007,1.55539e-08,5.150054989252,3.14073e-07,4.71e-05,0.02,0.03,0.045,0.74074,0.055
5.7975,153.4701734,1.3740052,2.60191e-08,16.60981831119515,4.46633e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
2.942,11.0408004,0.181,-8.28571e-09,1.7435632479334,3.448279999999999e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
1.06,3.6078806,0.071,6.2755799999998995e-09,0.2897128213235,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.0,4.9755988,-0.058338,-7.1413e-09,0.3174760591552,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.502357,14.2791304,-0.048533,-1.06760999999999e-08,0.7039111319526,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
1.04367,13.429545,0.046592,1.71262e-08,1.0933664191283,1.36054e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
4.576334,27.674463396,0.942007,4.52664e-09,16.439433735209,1.70819e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.296436,2.1030096,-0.174273,-3.98836e-10,0.07512517799008,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
0.884835,27.030531,0.066623,1.07667e-08,0.9573754069708,3.20856e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
1.156322096,4.954682998,0.0552648,-5.736739999999999e-09,0.4789888712232,3.78699e-07,4.71e-05,0.02,0.03,0.045,0.74074,0.055
0.583005,56.6822044,0.285297,4.37602e-08,5.7233156828774,3.95697e-07,7.4e-05,0.02,0.035,0.055,1.0,0.035
3.102101,1.752508,-1.07663635,-1.56463e-11,0.009474934502,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
7.8845e-05,0.198033404,-0.00276549,-2.599e-09,0.00163402855372,0.0,0.000115,0.087,0.023,0.0025,1.0,0.025
0.174497,1.028646,-0.040442,-2.0781200000000003e-09,0.216311910048,0.0,7.4e-05,0.02,0.035,0.055,1.0,0.035
